x_1,x_2,label,ensemble,Aline_0.25,BiSim_0.25,Levenshtein_0.25,Prefix_0.25
varivax,vzig,1,0.3727273,0.4909091,0.14285715,0.71428573,0.14285715
venofer,vfend,1,0.39092264,0.42083332,0.2857143,0.71428573,0.14285715
venofer,vimpat,1,0.42061013,0.5395833,0.14285715,0.85714287,0.14285715
vesanoid,vesicare,1,0.525,0.725,0.375,0.625,0.375
vesicare,vessel care,1,0.50363636,0.83272725,0.54545456,0.36363637,0.27272728
duetact,eydenzelt,0,0.31217173,0.4709091,0,0.7777778,0
vumerity,ivadantin,0,0.34013888,0.47166666,0,0.8888889,0
follistim,vitamin a,0,0.3900862,0.5603448,0,1,0
glyxambi,calan,0,0.31217104,0.3736842,0,0.875,0
besremi,iprivask,0,0.387,0.548,0,1,0
zegalogue,mono-linyah,0,0.3251894,0.39166668,0,0.90909094,0
predamide,retacrit,0,0.34353536,0.59636366,0.11111111,0.6666667,0
rimactane,midol,0,0.3331313,0.44363636,0,0.8888889,0
visudyne,praxbind,0,0.34882814,0.5203125,0,0.875,0
hexadrol,zanosar,0,0.34078947,0.3631579,0,1,0
anadrol-50,lumigan,0,0.34932432,0.2972973,0.1,1,0
exelon,iodixanol,0,0.29015875,0.38285714,0,0.7777778,0
ogivri,praxbind,0,0.30625,0.35,0,0.875,0
egaten,urex,0,0.30310076,0.37906978,0,0.8333333,0
